_oddsCount,i,PayoutSum,Description,MinPayout,MaxPayout
137,1,13,Normal,0,7
138,1,13,Normal,0,7
139,1,13,Normal,0,7
140,1,13,Normal,0,7
141,1,13,Normal,0,7
142,1,13,Normal,0,7
143,1,13,Normal,0,7
144,1,13,Normal,0,7
145,1,13,Normal,0,7
146,1,13,Normal,0,7
147,1,13,Normal,0,7
148,1,13,Normal,0,7
149,1,13,Normal,0,7
150,1,13,Normal,0,7
151,1,13,Normal,0,7
152,1,13,Normal,0,7
153,1,13,Normal,0,7
154,1,13,Normal,0,7
155,1,13,Normal,0,7
156,2,48,Normal,0,39
157,2,48,Normal,0,39
158,2,48,Normal,0,39
159,2,48,Normal,0,39
160,2,48,Normal,0,39
161,2,48,Normal,0,39
162,2,48,Normal,0,39
163,2,48,Normal,0,39
164,2,48,Normal,0,39
165,2,48,Normal,0,39
166,2,48,Normal,0,39
167,2,48,Normal,0,39
168,2,48,Normal,0,39
169,2,48,Normal,0,39
170,2,48,Normal,0,39
171,2,48,Normal,0,39
172,2,48,Normal,0,39
173,2,48,Normal,0,39
174,2,48,Normal,0,39
175,2,48,Normal,0,39
176,2,48,Normal,0,39
177,2,48,Normal,0,39
178,2,48,Normal,0,39
179,2,48,Normal,0,39
180,2,48,Normal,0,39
181,2,48,Normal,0,39
182,2,48,Normal,0,39
183,2,48,Normal,0,39
184,2,48,Normal,0,39
185,2,48,Normal,0,39
186,2,48,Normal,0,39
187,2,48,Normal,0,39
188,2,48,Normal,0,39
189,2,48,Normal,0,39
190,2,48,Normal,0,39
191,2,48,Normal,0,39
192,2,48,Normal,0,39
193,2,48,Normal,0,39
194,2,48,Normal,0,39
195,2,48,Normal,0,39
196,2,48,Normal,0,39
197,2,48,Normal,0,39
198,2,48,Normal,0,39
199,2,48,Normal,0,39
200,2,48,Normal,0,39
201,2,48,Normal,0,39
202,2,48,Normal,0,39
203,2,48,Normal,0,39
204,2,48,Normal,0,39
205,2,48,Normal,0,39
206,2,48,Normal,0,39
207,2,48,Normal,0,39
208,2,48,Normal,0,39
209,2,48,Normal,0,39
210,2,48,Normal,0,39
211,2,48,Normal,0,39
212,2,48,Normal,0,39
213,2,48,Normal,0,39
214,2,48,Normal,0,39
215,2,48,Normal,0,39
216,2,48,Normal,0,39
217,2,48,Normal,0,39
218,2,48,Normal,0,39
219,2,48,Normal,0,39
220,2,48,Normal,0,39
221,2,48,Normal,0,39
222,2,48,Normal,0,39
223,2,48,Normal,0,39
224,2,48,Normal,0,39
225,2,48,Normal,0,39
226,2,48,Normal,0,39
227,2,48,Normal,0,39
228,2,48,Normal,0,39
229,2,48,Normal,0,39
230,2,48,Normal,0,39
231,2,48,Normal,0,39
232,2,48,Normal,0,39
233,2,48,Normal,0,39
234,2,48,Normal,0,39
235,2,48,Normal,0,39
236,2,48,Normal,0,39
237,2,48,Normal,0,39
238,2,48,Normal,0,39
239,2,48,Normal,0,39
240,2,48,Normal,0,39
241,2,48,Normal,0,39
242,2,48,Normal,0,39
243,2,48,Normal,0,39
244,2,48,Normal,0,39
245,2,48,Normal,0,39
246,2,48,Normal,0,39
247,2,48,Normal,0,39
248,2,48,Normal,0,39
249,2,48,Normal,0,39
250,2,48,Normal,0,39
251,2,48,Normal,0,39
252,2,48,Normal,0,39
253,2,48,Normal,0,39
254,2,48,Normal,0,39
255,2,48,Normal,0,39
256,2,48,Normal,0,39
257,2,48,Normal,0,39
258,2,48,Normal,0,39
259,2,48,Normal,0,39
260,2,48,Normal,0,39
261,2,48,Normal,0,39
262,3,12,Normal,0,5
263,3,12,Normal,0,5
264,3,12,Normal,0,5
265,3,12,Normal,0,5
266,3,12,Normal,0,5
267,3,12,Normal,0,5
268,3,12,Normal,0,5
269,3,12,Normal,0,5
270,3,12,Normal,0,5
271,3,12,Normal,0,5
272,3,12,Normal,0,5
273,3,12,Normal,0,5
274,3,12,Normal,0,5
275,3,12,Normal,0,5
276,3,12,Normal,0,5
277,3,12,Normal,0,5
278,3,12,Normal,0,5
279,3,12,Normal,0,5
280,3,12,Normal,0,5
281,3,12,Normal,0,5
282,3,12,Normal,0,5
283,3,12,Normal,0,5
284,3,12,Normal,0,5
285,3,12,Normal,0,5
286,3,12,Normal,0,5
287,3,12,Normal,0,5
288,3,12,Normal,0,5
289,3,12,Normal,0,5
290,3,12,Normal,0,5
291,3,12,Normal,0,5
292,3,12,Normal,0,5
293,3,12,Normal,0,5
294,3,12,Normal,0,5
295,3,12,Normal,0,5
296,3,12,Normal,0,5
297,3,12,Normal,0,5
298,3,12,Normal,0,5
299,3,12,Normal,0,5
300,3,12,Normal,0,5
301,3,12,Normal,0,5
302,3,12,Normal,0,5
303,3,12,Normal,0,5
304,3,12,Normal,0,5
305,3,12,Normal,0,5
306,3,12,Normal,0,5
307,3,12,Normal,0,5
308,3,12,Normal,0,5
309,3,12,Normal,0,5
310,3,12,Normal,0,5
311,3,12,Normal,0,5
312,3,12,Normal,0,5
313,3,12,Normal,0,5
314,3,12,Normal,0,5
315,3,12,Normal,0,5
316,3,12,Normal,0,5
317,3,12,Normal,0,5
318,3,12,Normal,0,5
319,3,12,Normal,0,5
320,3,12,Normal,0,5
321,3,12,Normal,0,5
322,3,12,Normal,0,5
323,3,12,Normal,0,5
324,3,12,Normal,0,5
325,3,12,Normal,0,5
326,3,12,Normal,0,5
327,3,12,Normal,0,5
328,3,12,Normal,0,5
329,3,12,Normal,0,5
330,3,12,Normal,0,5
331,3,12,Normal,0,5
332,3,12,Normal,0,5
333,3,12,Normal,0,5
334,3,12,Normal,0,5
335,3,12,Normal,0,5
336,3,12,Normal,0,5
337,3,12,Normal,0,5
338,3,12,Normal,0,5
339,3,12,Normal,0,5
340,3,12,Normal,0,5
341,3,12,Normal,0,5
342,3,12,Normal,0,5
343,3,12,Normal,0,5
344,3,12,Normal,0,5
345,3,12,Normal,0,5
346,3,12,Normal,0,5
347,3,12,Normal,0,5
348,3,12,Normal,0,5
349,3,12,Normal,0,5
350,3,12,Normal,0,5
351,3,12,Normal,0,5
352,3,12,Normal,0,5
353,3,12,Normal,0,5
354,3,12,Normal,0,5
355,3,12,Normal,0,5
356,3,12,Normal,0,5
357,3,12,Normal,0,5
358,3,12,Normal,0,5
359,3,12,Normal,0,5
360,3,12,Normal,0,5
361,3,12,Normal,0,5
362,3,12,Normal,0,5
363,3,12,Normal,0,5
364,3,12,Normal,0,5
365,3,12,Normal,0,5
366,3,12,Normal,0,5
367,3,12,Normal,0,5
368,4,69,Normal,0,51
369,4,69,Normal,0,51
370,4,69,Normal,0,51
371,4,69,Normal,0,51
372,4,69,Normal,0,51
373,4,69,Normal,0,51
374,4,69,Normal,0,51
375,4,69,Normal,0,51
376,4,69,Normal,0,51
377,4,69,Normal,0,51
378,4,69,Normal,0,51
379,4,69,Normal,0,51
380,4,69,Normal,0,51
381,4,69,Normal,0,51
382,4,69,Normal,0,51
383,4,69,Normal,0,51
384,4,69,Normal,0,51
385,4,69,Normal,0,51
386,4,69,Normal,0,51
387,4,69,Normal,0,51
388,4,69,Normal,0,51
389,4,69,Normal,0,51
390,4,69,Normal,0,51
391,4,69,Normal,0,51
392,4,69,Normal,0,51
393,4,69,Normal,0,51
394,4,69,Normal,0,51
395,4,69,Normal,0,51
396,4,69,Normal,0,51
397,4,69,Normal,0,51
398,4,69,Normal,0,51
399,4,69,Normal,0,51
400,4,69,Normal,0,51
401,4,69,Normal,0,51
402,4,69,Normal,0,51
403,4,69,Normal,0,51
404,4,69,Normal,0,51
405,4,69,Normal,0,51
406,4,69,Normal,0,51
407,4,69,Normal,0,51
408,4,69,Normal,0,51
409,4,69,Normal,0,51
410,4,69,Normal,0,51
411,4,69,Normal,0,51
412,4,69,Normal,0,51
413,4,69,Normal,0,51
414,4,69,Normal,0,51
415,4,69,Normal,0,51
416,4,69,Normal,0,51
417,4,69,Normal,0,51
418,4,69,Normal,0,51
419,4,69,Normal,0,51
420,4,69,Normal,0,51
421,4,69,Normal,0,51
422,4,69,Normal,0,51
423,4,69,Normal,0,51
424,4,69,Normal,0,51
425,4,69,Normal,0,51
426,4,69,Normal,0,51
427,4,69,Normal,0,51
428,4,69,Normal,0,51
429,4,69,Normal,0,51
430,4,69,Normal,0,51
431,4,69,Normal,0,51
432,4,69,Normal,0,51
433,4,69,Normal,0,51
434,4,69,Normal,0,51
435,4,69,Normal,0,51
436,4,69,Normal,0,51
437,4,69,Normal,0,51
438,4,69,Normal,0,51
439,4,69,Normal,0,51
440,4,69,Normal,0,51
441,4,69,Normal,0,51
442,4,69,Normal,0,51
443,4,69,Normal,0,51
444,4,69,Normal,0,51
445,4,69,Normal,0,51
446,4,69,Normal,0,51
447,4,69,Normal,0,51
448,4,69,Normal,0,51
449,4,69,Normal,0,51
450,4,69,Normal,0,51
451,4,69,Normal,0,51
452,4,69,Normal,0,51
453,4,69,Normal,0,51
454,4,69,Normal,0,51
455,4,69,Normal,0,51
456,4,69,Normal,0,51
457,4,69,Normal,0,51
458,4,69,Normal,0,51
459,4,69,Normal,0,51
460,4,69,Normal,0,51
461,4,69,Normal,0,51
462,4,69,Normal,0,51
463,4,69,Normal,0,51
464,4,69,Normal,0,51
465,4,69,Normal,0,51
466,4,69,Normal,0,51
467,4,69,Normal,0,51
468,4,69,Normal,0,51
469,4,69,Normal,0,51
470,4,69,Normal,0,51
471,4,69,Normal,0,51
472,4,69,Normal,0,51
473,4,69,Normal,0,51
474,5,27,Normal,0,14
475,5,27,Normal,0,14
476,5,27,Normal,0,14
477,5,27,Normal,0,14
478,5,27,Normal,0,14
479,5,27,Normal,0,14
480,5,27,Normal,0,14
481,5,27,Normal,0,14
482,5,27,Normal,0,14
483,5,27,Normal,0,14
484,5,27,Normal,0,14
485,5,27,Normal,0,14
486,5,27,Normal,0,14
487,5,27,Normal,0,14
488,5,27,Normal,0,14
489,5,27,Normal,0,14
490,5,27,Normal,0,14
491,5,27,Normal,0,14
492,5,27,Normal,0,14
493,5,27,Normal,0,14
494,5,27,Normal,0,14
495,5,27,Normal,0,14
496,5,27,Normal,0,14
497,5,27,Normal,0,14
498,5,27,Normal,0,14
499,5,27,Normal,0,14
500,5,27,Normal,0,14
501,5,27,Normal,0,14
502,5,27,Normal,0,14
503,5,27,Normal,0,14
504,5,27,Normal,0,14
505,5,27,Normal,0,14
506,5,27,Normal,0,14
507,5,27,Normal,0,14
508,5,27,Normal,0,14
509,5,27,Normal,0,14
510,5,27,Normal,0,14
511,5,27,Normal,0,14
512,5,27,Normal,0,14
513,5,27,Normal,0,14
514,5,27,Normal,0,14
515,5,27,Normal,0,14
516,5,27,Normal,0,14
517,5,27,Normal,0,14
518,5,27,Normal,0,14
519,5,27,Normal,0,14
520,5,27,Normal,0,14
521,5,27,Normal,0,14
522,5,27,Normal,0,14
523,5,27,Normal,0,14
524,5,27,Normal,0,14
525,5,27,Normal,0,14
526,5,27,Normal,0,14
527,5,27,Normal,0,14
528,5,27,Normal,0,14
529,5,27,Normal,0,14
530,5,27,Normal,0,14
531,5,27,Normal,0,14
532,5,27,Normal,0,14
533,5,27,Normal,0,14
534,5,27,Normal,0,14
535,5,27,Normal,0,14
536,5,27,Normal,0,14
537,5,27,Normal,0,14
538,5,27,Normal,0,14
539,5,27,Normal,0,14
540,5,27,Normal,0,14
541,5,27,Normal,0,14
542,5,27,Normal,0,14
543,5,27,Normal,0,14
544,5,27,Normal,0,14
545,5,27,Normal,0,14
546,5,27,Normal,0,14
547,5,27,Normal,0,14
548,5,27,Normal,0,14
549,5,27,Normal,0,14
550,5,27,Normal,0,14
551,5,27,Normal,0,14
552,5,27,Normal,0,14
553,5,27,Normal,0,14
554,5,27,Normal,0,14
555,5,27,Normal,0,14
556,5,27,Normal,0,14
557,5,27,Normal,0,14
558,5,27,Normal,0,14
559,5,27,Normal,0,14
560,5,27,Normal,0,14
561,5,27,Normal,0,14
562,5,27,Normal,0,14
563,5,27,Normal,0,14
564,5,27,Normal,0,14
565,5,27,Normal,0,14
566,5,27,Normal,0,14
567,5,27,Normal,0,14
568,5,27,Normal,0,14
569,5,27,Normal,0,14
570,5,27,Normal,0,14
571,5,27,Normal,0,14
572,5,27,Normal,0,14
573,5,27,Normal,0,14
574,5,27,Normal,0,14
575,5,27,Normal,0,14
576,5,27,Normal,0,14
577,5,27,Normal,0,14
578,5,27,Normal,0,14
579,5,27,Normal,0,14
580,6,48,Normal,0,28
581,6,48,Normal,0,28
582,6,48,Normal,0,28
583,6,48,Normal,0,28
584,6,48,Normal,0,28
585,6,48,Normal,0,28
586,6,48,Normal,0,28
587,6,48,Normal,0,28
588,6,48,Normal,0,28
589,6,48,Normal,0,28
590,6,48,Normal,0,28
591,6,48,Normal,0,28
592,6,48,Normal,0,28
593,6,48,Normal,0,28
594,6,48,Normal,0,28
595,6,48,Normal,0,28
596,6,48,Normal,0,28
597,6,48,Normal,0,28
598,6,48,Normal,0,28
599,6,48,Normal,0,28
600,6,48,Normal,0,28
601,6,48,Normal,0,28
602,6,48,Normal,0,28
603,6,48,Normal,0,28
604,6,48,Normal,0,28
605,6,48,Normal,0,28
606,6,48,Normal,0,28
607,6,48,Normal,0,28
608,6,48,Normal,0,28
609,6,48,Normal,0,28
610,6,48,Normal,0,28
611,6,48,Normal,0,28
612,6,48,Normal,0,28
613,6,48,Normal,0,28
614,6,48,Normal,0,28
615,6,48,Normal,0,28
616,6,48,Normal,0,28
617,6,48,Normal,0,28
618,6,48,Normal,0,28
619,6,48,Normal,0,28
620,6,48,Normal,0,28
621,6,48,Normal,0,28
622,6,48,Normal,0,28
623,6,48,Normal,0,28
624,6,48,Normal,0,28
625,6,48,Normal,0,28
626,6,48,Normal,0,28
627,6,48,Normal,0,28
628,6,48,Normal,0,28
629,6,48,Normal,0,28
630,6,48,Normal,0,28
631,6,48,Normal,0,28
632,6,48,Normal,0,28
633,6,48,Normal,0,28
634,6,48,Normal,0,28
635,6,48,Normal,0,28
636,6,48,Normal,0,28
637,6,48,Normal,0,28
638,6,48,Normal,0,28
639,6,48,Normal,0,28
640,6,48,Normal,0,28
641,6,48,Normal,0,28
642,6,48,Normal,0,28
643,6,48,Normal,0,28
644,6,48,Normal,0,28
645,6,48,Normal,0,28
646,6,48,Normal,0,28
647,6,48,Normal,0,28
648,6,48,Normal,0,28
649,6,48,Normal,0,28
650,6,48,Normal,0,28
651,6,48,Normal,0,28
652,6,48,Normal,0,28
653,6,48,Normal,0,28
654,6,48,Normal,0,28
655,6,48,Normal,0,28
656,6,48,Normal,0,28
657,6,48,Normal,0,28
658,6,48,Normal,0,28
659,6,48,Normal,0,28
660,6,48,Normal,0,28
661,6,48,Normal,0,28
662,6,48,Normal,0,28
663,6,48,Normal,0,28
664,6,48,Normal,0,28
665,6,48,Normal,0,28
666,6,48,Normal,0,28
667,6,48,Normal,0,28
668,6,48,Normal,0,28
669,6,48,Normal,0,28
670,6,48,Normal,0,28
671,6,48,Normal,0,28
672,6,48,Normal,0,28
673,6,48,Normal,0,28
674,6,48,Normal,0,28
675,6,48,Normal,0,28
676,6,48,Normal,0,28
677,6,48,Normal,0,28
678,6,48,Normal,0,28
679,6,48,Normal,0,28
680,6,48,Normal,0,28
681,6,48,Normal,0,28
682,6,48,Normal,0,28
683,6,48,Normal,0,28
684,6,48,Normal,0,28
685,6,48,Normal,0,28
686,7,104,Normal,0,86
687,7,104,Normal,0,86
688,7,104,Normal,0,86
689,7,104,Normal,0,86
690,7,104,Normal,0,86
691,7,104,Normal,0,86
692,7,104,Normal,0,86
693,7,104,Normal,0,86
694,7,104,Normal,0,86
695,7,104,Normal,0,86
696,7,104,Normal,0,86
697,7,104,Normal,0,86
698,7,104,Normal,0,86
699,7,104,Normal,0,86
700,7,104,Normal,0,86
701,7,104,Normal,0,86
702,7,104,Normal,0,86
703,7,104,Normal,0,86
704,7,104,Normal,0,86
705,7,104,Normal,0,86
706,7,104,Normal,0,86
707,7,104,Normal,0,86
708,7,104,Normal,0,86
709,7,104,Normal,0,86
710,7,104,Normal,0,86
711,7,104,Normal,0,86
712,7,104,Normal,0,86
713,7,104,Normal,0,86
714,7,104,Normal,0,86
715,7,104,Normal,0,86
716,7,104,Normal,0,86
717,7,104,Normal,0,86
718,7,104,Normal,0,86
719,7,104,Normal,0,86
720,7,104,Normal,0,86
721,7,104,Normal,0,86
722,7,104,Normal,0,86
723,7,104,Normal,0,86
724,7,104,Normal,0,86
725,7,104,Normal,0,86
726,7,104,Normal,0,86
727,7,104,Normal,0,86
728,7,104,Normal,0,86
729,7,104,Normal,0,86
730,7,104,Normal,0,86
731,7,104,Normal,0,86
732,7,104,Normal,0,86
733,7,104,Normal,0,86
734,7,104,Normal,0,86
735,7,104,Normal,0,86
736,7,104,Normal,0,86
737,7,104,Normal,0,86
738,7,104,Normal,0,86
739,7,104,Normal,0,86
740,7,104,Normal,0,86
741,7,104,Normal,0,86
742,7,104,Normal,0,86
743,7,104,Normal,0,86
744,7,104,Normal,0,86
745,7,104,Normal,0,86
746,7,104,Normal,0,86
747,7,104,Normal,0,86
748,7,104,Normal,0,86
749,7,104,Normal,0,86
750,7,104,Normal,0,86
751,7,104,Normal,0,86
752,7,104,Normal,0,86
753,7,104,Normal,0,86
754,7,104,Normal,0,86
755,7,104,Normal,0,86
756,7,104,Normal,0,86
757,7,104,Normal,0,86
758,7,104,Normal,0,86
759,7,104,Normal,0,86
760,7,104,Normal,0,86
761,7,104,Normal,0,86
762,7,104,Normal,0,86
763,7,104,Normal,0,86
764,7,104,Normal,0,86
765,7,104,Normal,0,86
766,7,104,Normal,0,86
767,7,104,Normal,0,86
768,7,104,Normal,0,86
769,7,104,Normal,0,86
770,8,44,Normal,0,16
771,8,44,Normal,0,16
772,8,44,Normal,0,16
773,8,44,Normal,0,16
774,8,44,Normal,0,16
775,8,44,Normal,0,16
776,8,44,Normal,0,16
777,8,44,Normal,0,16
778,8,44,Normal,0,16
779,8,44,Normal,0,16
780,8,44,Normal,0,16
781,8,44,Normal,0,16
782,8,44,Normal,0,16
783,8,44,Normal,0,16
784,8,44,Normal,0,16
785,8,44,Normal,0,16
786,8,44,Normal,0,16
787,8,44,Normal,0,16
788,8,44,Normal,0,16
789,8,44,Normal,0,16
790,8,44,Normal,0,16
791,8,44,Normal,0,16
792,8,44,Normal,0,16
793,8,44,Normal,0,16
794,8,44,Normal,0,16
795,8,44,Normal,0,16
796,8,44,Normal,0,16
797,8,44,Normal,0,16
798,8,44,Normal,0,16
799,8,44,Normal,0,16
800,8,44,Normal,0,16
801,8,44,Normal,0,16
802,8,44,Normal,0,16
803,8,44,Normal,0,16
804,8,44,Normal,0,16
805,8,44,Normal,0,16
806,8,44,Normal,0,16
807,8,44,Normal,0,16
808,8,44,Normal,0,16
809,8,44,Normal,0,16
810,8,44,Normal,0,16
811,8,44,Normal,0,16
812,8,44,Normal,0,16
813,8,44,Normal,0,16
814,8,44,Normal,0,16
815,8,44,Normal,0,16
816,8,44,Normal,0,16
817,8,44,Normal,0,16
818,8,44,Normal,0,16
819,8,44,Normal,0,16
820,8,44,Normal,0,16
821,8,44,Normal,0,16
822,8,44,Normal,0,16
823,8,44,Normal,0,16
824,8,44,Normal,0,16
825,8,44,Normal,0,16
826,8,44,Normal,0,16
827,8,44,Normal,0,16
828,8,44,Normal,0,16
829,8,44,Normal,0,16
830,8,44,Normal,0,16
831,8,44,Normal,0,16
832,8,44,Normal,0,16
833,8,44,Normal,0,16
834,8,44,Normal,0,16
835,8,44,Normal,0,16
836,8,44,Normal,0,16
837,8,44,Normal,0,16
838,8,44,Normal,0,16
839,8,44,Normal,0,16
840,8,44,Normal,0,16
841,8,44,Normal,0,16
842,8,44,Normal,0,16
843,8,44,Normal,0,16
844,8,44,Normal,0,16
845,8,44,Normal,0,16
846,8,44,Normal,0,16
847,8,44,Normal,0,16
848,8,44,Normal,0,16
849,8,44,Normal,0,16
850,8,44,Normal,0,16
851,8,44,Normal,0,16
852,8,44,Normal,0,16
853,8,44,Normal,0,16
854,8,44,Normal,0,16
855,8,44,Normal,0,16
856,8,44,Normal,0,16
857,8,44,Normal,0,16
858,8,44,Normal,0,16
859,8,44,Normal,0,16
860,8,44,Normal,0,16
861,8,44,Normal,0,16
862,8,44,Normal,0,16
863,8,44,Normal,0,16
864,8,44,Normal,0,16
865,8,44,Normal,0,16
866,8,44,Normal,0,16
867,8,44,Normal,0,16
868,8,44,Normal,0,16
869,8,44,Normal,0,16
870,8,44,Normal,0,16
871,8,44,Normal,0,16
872,8,44,Normal,0,16
873,8,44,Normal,0,16
874,8,44,Normal,0,16
875,8,44,Normal,0,16
876,9,1072,Normal,0,872
877,9,1072,Normal,0,872
878,9,1072,Normal,0,872
879,9,1072,Normal,0,872
880,9,1072,Normal,0,872
881,9,1072,Normal,0,872
882,9,1072,Normal,0,872
883,9,1072,Normal,0,872
884,10,1398,Normal,0,897
885,10,1398,Normal,0,897
886,10,1398,Normal,0,897
887,10,1398,Normal,0,897
888,10,1398,Normal,0,897
889,10,1398,Normal,0,897
890,11,4884,Normal,0,3800
891,11,4884,Normal,0,3800
892,12,8760,Normal,0,5586
893,13,53,Free Spins,0,25
894,13,53,Free Spins,0,25
895,13,53,Free Spins,0,25
896,13,53,Free Spins,0,25
897,13,53,Free Spins,0,25
898,13,53,Free Spins,0,25
899,13,53,Free Spins,0,25
900,13,53,Free Spins,0,25
901,13,53,Free Spins,0,25
902,13,53,Free Spins,0,25
903,13,53,Free Spins,0,25
904,13,53,Free Spins,0,25
905,13,53,Free Spins,0,25
906,13,53,Free Spins,0,25
907,13,53,Free Spins,0,25
908,13,53,Free Spins,0,25
909,13,53,Free Spins,0,25
910,13,53,Free Spins,0,25
911,13,53,Free Spins,0,25
912,13,53,Free Spins,0,25
913,13,53,Free Spins,0,25
914,13,53,Free Spins,0,25
915,13,53,Free Spins,0,25
916,13,53,Free Spins,0,25
917,14,5,Bomb,1,1
918,14,5,Bomb,1,1
919,14,5,Bomb,1,1
920,14,5,Bomb,1,1
921,14,5,Bomb,1,1
922,14,5,Bomb,1,1
923,14,5,Bomb,1,1
924,14,5,Bomb,1,1
925,14,5,Bomb,1,1
926,14,5,Bomb,1,1
927,14,5,Bomb,1,1
928,14,5,Bomb,1,1
929,14,5,Bomb,1,1
930,14,5,Bomb,1,1
931,14,5,Bomb,1,1
932,14,5,Bomb,1,1
933,15,5,Spinable,1,1
934,15,5,Spinable,1,1
935,15,5,Spinable,1,1
936,15,5,Spinable,1,1
937,15,5,Spinable,1,1
938,15,5,Spinable,1,1
939,15,5,Spinable,1,1
940,15,5,Spinable,1,1
941,15,5,Spinable,1,1
942,15,5,Spinable,1,1
943,15,5,Spinable,1,1
944,15,5,Spinable,1,1
945,15,5,Spinable,1,1
946,15,5,Spinable,1,1
947,15,5,Spinable,1,1
948,15,5,Spinable,1,1
949,16,5,Multiplier,1,1
950,16,5,Multiplier,1,1
951,16,5,Multiplier,1,1
952,16,5,Multiplier,1,1
953,16,5,Multiplier,1,1
954,16,5,Multiplier,1,1
955,16,5,Multiplier,1,1
956,16,5,Multiplier,1,1
957,16,5,Multiplier,1,1
958,16,5,Multiplier,1,1
959,16,5,Multiplier,1,1
960,16,5,Multiplier,1,1
961,16,5,Multiplier,1,1
962,16,5,Multiplier,1,1
963,16,5,Multiplier,1,1
964,16,5,Multiplier,1,1
